,cleaned_title,date,source,source_type,language,sentiment,emotions,emotion_scores
24,Enterprise AI Trends to Watch in 2024,2023-11-10,EnterpriseTalk,Press Release Service,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.3056950569152832, 0.28672221302986145, 0.25927734375, 0.14830538630485535]"
25,American startup Humain launches AI product ‘attached to clothes’… Market landscape change?,2023-11-10,뉴스1,News Outlet,ko,neutral,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.5480727553367615, 0.1623440384864807, 0.16049696505069733, 0.12908625602722168]"
26,AI startup in crisis... Remember Why,2023-11-10,더밀크 The Miilk,Other,ko,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.81271892786026, 0.16253551840782166, 0.014151111245155334, 0.010594413615763187]"
27,"Last Week in Crypto: ETH Pumps, Poloniex Loses Millions, Elon’s AI Triggers Shitcoin Storm",2023-11-10,Yahoo Finance,News Outlet,en,negative,"['Concern', 'Excitement', 'Skepticism', 'Optimism']","[0.40671905875205994, 0.2750137746334076, 0.20715059340000153, 0.11111657321453094]"
28,Survey: Generative AI Shaking Up Digital Health Investors’ Funding ...,2023-11-10,insideBIGDATA,Other,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.38146504759788513, 0.23551808297634125, 0.21997284889221191, 0.16304397583007812]"
29,3 Top Artificial Intelligence (AI) Stocks to Buy Right Now,2023-11-10,The Motley Fool,Blog,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.5175536870956421, 0.27055302262306213, 0.1424046903848648, 0.06948862224817276]"
30,2 Stocks That Could Benefit From Generative AI’s Energy Demand Growth,2023-11-10,Forbes,Magazine,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.37831684947013855, 0.357317179441452, 0.132979154586792, 0.13138681650161743]"
31,Microsoft Stock Notches Record High Ahead Of AI News,2023-11-10,Investor's Business Daily,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.4976496696472168, 0.28322017192840576, 0.15373718738555908, 0.06539295613765717]"
32,Intel invests in generative AI startup Stability AI,2023-11-10,The Hindu,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']","[0.37231454253196716, 0.30110546946525574, 0.19849641621112823, 0.12808352708816528]"
33,Fyma Raises $2.1M to advance AI in real estate management,2023-11-10,Tech.eu,Blog,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']","[0.3735693395137787, 0.3089818060398102, 0.20498736202716827, 0.11246146261692047]"
34,"Google is negotiating to invest in artificial intelligence startup Character.AI, sources say",2023-11-10,UOL,Other,it,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.39673173427581787, 0.2857256829738617, 0.26162034273147583, 0.055922333151102066]"
35,Google in talks to invest in startup Character.AI...,2023-11-10,Zonebourse.com,Other,fr,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']","[0.3424820601940155, 0.3289015591144562, 0.24833472073078156, 0.08028170466423035]"
36,"IoT, AI get household electronics sector buzzing with growth potential",2023-11-10,China Daily,News Outlet,en,positive,"['Excitement', 'Optimism', 'Skepticism', 'Concern']","[0.6923489570617676, 0.2527298629283905, 0.032543476670980453, 0.022377697750926018]"
37,Aigen Raises $12M to Scale AI-Powered Solar Robot Fleet for ...,2023-11-10,Causeartist,Other,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.35947203636169434, 0.23873011767864227, 0.23107531666755676, 0.17072251439094543]"
38,"Nvidia Unleashes Barrage Of AI Enhancements, Storms New Buy ...",2023-11-10,Investor's Business Daily,News Outlet,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.3952566981315613, 0.3272039592266083, 0.15148000419139862, 0.12605933845043182]"
39,SoundHound AI Stock Gains 3.5% on Revenue Beat and Better ...,2023-11-10,The Motley Fool,Blog,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']","[0.3963378369808197, 0.3615165948867798, 0.17600369453430176, 0.06614195555448532]"
40,Q3 2023 SoundHound AI Inc Earnings Call,2023-11-10,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.5228619575500488, 0.18907524645328522, 0.15811873972415924, 0.12994402647018433]"
41,Chinese AI Firm Stockpiled 18 Months of Nvidia GPUs Before Export ...,2023-11-10,Tom's Hardware,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']","[0.47861194610595703, 0.21450680494308472, 0.16820847988128662, 0.13867272436618805]"
42,IBM on how banks are starting to embrace generative AI,2023-11-10,Finextra,Other,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.2760646641254425, 0.2697627544403076, 0.24743658304214478, 0.2067359983921051]"
43,Exclusive: Google in talks to invest in AI startup Character.AI,2023-11-10,Reuters,News Outlet,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.39333248138427734, 0.25407129526138306, 0.24962276220321655, 0.10297339409589767]"
44,"AI could cause 'catastrophic' financial crisis, says Yuval Noah Harari",2023-11-10,The Guardian,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.7850379943847656, 0.17017681896686554, 0.028186198323965073, 0.016599079594016075]"
45,AI deepfake detection requires NSF and DARPA funding and new ...,2023-11-09,FedScoop,Other,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']","[0.5288666486740112, 0.23599626123905182, 0.11871320009231567, 0.11642391234636307]"
46,This Norwegian AI Powered Startup Has Big Plans For The Meat Industry,2023-11-09,Forbes,Magazine,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']","[0.3426190912723541, 0.3273206949234009, 0.26137182116508484, 0.06868832558393478]"
47,"Shutterstock Unveils TRUST, its Best-in-Class Approach for Ethical AI",2023-11-09,PR Newswire,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.4837409555912018, 0.23220068216323853, 0.20027370750904083, 0.08378464728593826]"
48,"Telex: Web scraping of 35 million Linkedin accounts, Rubrik launches its generative AI chatbot Ruby, OnePoint raises €500 million",2023-11-09,Le Monde Informatique,Other,fr,negative,"['Concern', 'Optimism', 'Skepticism', 'Excitement']","[0.31743156909942627, 0.23596955835819244, 0.22394225001335144, 0.22265659272670746]"
49,"AI stocks: After Microsoft and Alphabet, Elon Musk presents chatbot “Grok” - boerse.de",2023-11-09,boerse.de,Other,de,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.3735126852989197, 0.30997195839881897, 0.18030580878257751, 0.13620950281620026]"
50,IBM Creates $500M Enterprise Generative AI Startup Investment Fund,2023-11-09,Voicebot.ai,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.30163267254829407, 0.25080063939094543, 0.2479991763830185, 0.19956748187541962]"
51,DataRobot releases major updates to its enterprise-grade AI platform,2023-11-09,SiliconANGLE News,News Outlet,en,positive,"['Skepticism', 'Optimism', 'Excitement', 'Concern']","[0.2774043083190918, 0.25306013226509094, 0.2433154284954071, 0.22622016072273254]"
52,AI Startups Raising Money From China Are Taking a Risk; Why a ...,2023-11-09,The Information,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.7931389212608337, 0.1671827882528305, 0.025748198851943016, 0.013930126093327999]"
53,There’s something going on with AI startups in France,2023-11-09,TechCrunch,Blog,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.34400349855422974, 0.34222620725631714, 0.17843559384346008, 0.13533471524715424]"
54,SEC confirms use of artificial intelligence in financial monitoring,2023-11-09,The American Genius,Other,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.41898196935653687, 0.23708640038967133, 0.1898173987865448, 0.154114231467247]"
55,Artificial Intelligence (AI) Software System Market Size to Grow USD 156800 Million by 2029 at a CAGR of 31.5% | Valuates Reports,2023-11-09,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.3252130448818207, 0.3087216913700104, 0.2948864698410034, 0.07117880880832672]"
56,AI Alert: 3 Healthcare Stocks That Are Investing in Artificial Intelligence,2023-11-09,InvestorPlace,Other,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.38517189025878906, 0.3506926894187927, 0.20936040580272675, 0.054774995893239975]"
57,"PostgresML, the MLops platform enabling the next generation of in-database artificial intelligence and machine learning applications, is now generally available for enterprise and scale-ups",2023-11-09,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.2900770604610443, 0.2866109609603882, 0.2725256383419037, 0.1507864147424698]"
58,"Researchers develop AI algorithm to measure muscle development, provide growth chart for children",2023-11-09,Medical Xpress,Press Release Service,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']","[0.4641328454017639, 0.19199515879154205, 0.18756906688213348, 0.15630294382572174]"
59,Adviser AI: Technology’s role in financial management,2023-11-09,Spokane Journal of Business,News Outlet,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']","[0.35601192712783813, 0.2849366068840027, 0.2567158341407776, 0.10233563929796219]"
60,"Default Launches AI-Powered Inbound Sales Funnel for Lead Conversion, Reveals $6.6M Seed Funding",2023-11-09,Yahoo Finance,News Outlet,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']","[0.3883103132247925, 0.2280130237340927, 0.2098899781703949, 0.17378662526607513]"
61,AI startup Cercle launches with partners focused on big data ...,2023-11-09,FierceHealthcare,Other,en,positive,"['Excitement', 'Optimism', 'Skepticism', 'Concern']","[0.3447408378124237, 0.28400012850761414, 0.20930568873882294, 0.16195331513881683]"
62,Better AI Stock: Palantir Technologies vs. SoundHound AI,2023-11-09,The Motley Fool,Blog,en,positive,"['Skepticism', 'Optimism', 'Excitement', 'Concern']","[0.2870011031627655, 0.2845648229122162, 0.23223622143268585, 0.19619783759117126]"
63,Want to Add Artificial Intelligence (AI) Stocks to Your Portfolio? 3 ...,2023-11-09,The Motley Fool,Blog,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.3583656847476959, 0.3204405903816223, 0.21177028119564056, 0.10942339897155762]"
64,VUMC and Duke teams win $1.25 million grant for measuring AI ... - News,2023-11-09,News-Medical.Net,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.3627190589904785, 0.2678898274898529, 0.22397533059120178, 0.14541570842266083]"
65,Are AI-focused funds doing their job?,2023-11-09,Investors Chronicle,News Outlet,en,neutral,"['Concern', 'Skepticism', 'Optimism', 'Excitement']","[0.6242620348930359, 0.19436106085777283, 0.10238312929868698, 0.0789937898516655]"
66,Ex-Coca-Cola VPs debut ChatGPT-like AI tool to help enterprises ...,2023-11-09,ComputerWeekly.com,Magazine,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.3105073571205139, 0.2604565918445587, 0.22678788006305695, 0.2022482007741928]"
67,AI startup Twelve Labs unveils video language AI foundation model Pegasus-1,2023-11-09,The Korea Herald,News Outlet,en,positive,"['Skepticism', 'Optimism', 'Excitement', 'Concern']","[0.278459757566452, 0.24843105673789978, 0.24297355115413666, 0.23013567924499512]"
68,3 Reasons Amazon Is Still a Top Artificial Intelligence (AI) Stock to ...,2023-11-09,The Motley Fool,Blog,en,positive,"['Excitement', 'Optimism', 'Skepticism', 'Concern']","[0.3698287606239319, 0.3058450222015381, 0.1916746348142624, 0.13265159726142883]"
69,AI startup Anthropic to use Google chips in expanded partnership,2023-11-09,The Seattle Times,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.42740851640701294, 0.31855258345603943, 0.15918566286563873, 0.09485320001840591]"
70,Today’s Cache | UK’s focus on online child safety; Meta to require disclosure for AI-created political ads; Amazon spends millions on new AI model ‘Olympus’,2023-11-09,The Hindu,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.702696681022644, 0.13542413711547852, 0.09251251071691513, 0.06936666369438171]"
71,AI infrastructure startup Ritual raises $25M to fill gaps in crypto,2023-11-09,Cointelegraph,Other,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.37162354588508606, 0.2772594392299652, 0.2119060754776001, 0.13921089470386505]"
72,"SoundHound AI Reports Record Third Quarter, Revenue Increases ...",2023-11-09,Business Wire,News Outlet,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']","[0.4378846287727356, 0.24012430012226105, 0.20957675576210022, 0.11241430789232254]"
73,IBM Launches $500 Million Enterprise AI Venture Fund,2023-11-09,AiThority,Other,en,positive,"['Excitement', 'Optimism', 'Skepticism', 'Concern']","[0.31159740686416626, 0.25078511238098145, 0.22710663080215454, 0.21051083505153656]"
74,"Rivian's Riding High, but This AI Stock Soared 20%+ Wednesday ...",2023-11-08,The Motley Fool,Blog,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.5306392312049866, 0.2504645586013794, 0.178823322057724, 0.04007286950945854]"
75,AI Therapy Documentation Startup Eleos Health Lands $40M Series B,2023-11-08,Behavioral Health Business,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.28452304005622864, 0.26461419463157654, 0.24244944751262665, 0.2084132730960846]"
76,1 Unstoppable Artificial Intelligence (AI) Stock Down 89% You'll ...,2023-11-08,Nasdaq,Other,en,negative,"['Concern', 'Excitement', 'Skepticism', 'Optimism']","[0.4828343689441681, 0.21833768486976624, 0.2071065902709961, 0.09172142297029495]"
77,1 Lesser-Known Artificial Intelligence (AI) Stock to Jump On Now,2023-11-08,The Motley Fool,Blog,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.7734253406524658, 0.12285356223583221, 0.06062352657318115, 0.04309755191206932]"
78,Protecto Joins Cadre of Startups in AI Data Protection Space,2023-11-08,SecurityWeek,Other,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.3843984603881836, 0.2397727370262146, 0.2228604257106781, 0.1529683619737625]"
79,"Hyro Announces Conversational AI for Healthcare on Salesforce AppExchange, the World's Leading Enterprise Cloud Marketplace",2023-11-08,Yahoo Finance,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.31491541862487793, 0.27656689286231995, 0.27608323097229004, 0.13243448734283447]"
80,AI startup Allganize attracts KRW 27 billion [Geeks],2023-11-08,한국경제,Other,ko,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.49780914187431335, 0.2600996494293213, 0.2025587558746338, 0.039532504975795746]"
81,"Automatic growth model where AI continues to get smarter through ""dialogue with language-generating AI"" US...",2023-11-08,ITmedia NEWS,News Outlet,ja,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.3253512680530548, 0.27529650926589966, 0.25398769974708557, 0.14536458253860474]"
82,Microsoft offers Azure AI Infrastructure access to startups,2023-11-08,ITPro,Press Release Service,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.28961676359176636, 0.26835182309150696, 0.22405776381492615, 0.21797361969947815]"
83,IBM Unveils $500 MN Fund to Invest in AI Firms,2023-11-08,Entrepreneur,Press Release Service,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.27947771549224854, 0.26807552576065063, 0.26267629861831665, 0.18977046012878418]"
84,Meta taps Hugging Face for startup accelerator to spur adoption of open source AI models,2023-11-08,Yahoo News,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.39068281650543213, 0.3354076147079468, 0.19270704686641693, 0.0812024399638176]"
85,Flip AI Launches to Bring the ‘Holy Grail of Observability’ to All Enterprises With $6.5 Million in Seed Funding Led by Factory,2023-11-08,Yahoo Finance,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.4859573543071747, 0.2879723310470581, 0.17832036316394806, 0.04774994030594826]"
86,Lutton exceeds 1 million monthly users... ‘GPT-4 Turbo’ free service notice,2023-11-08,AI타임스,News Outlet,ko,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.5390233397483826, 0.2044600546360016, 0.16807223856449127, 0.08844427764415741]"
87,"Data and AI Company Stardog Launches Voicebox, Providing Enterprise Knowledge Workers with Direct, Easy Access to Critical Business Insight",2023-11-08,Yahoo Finance,News Outlet,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']","[0.28979167342185974, 0.25573164224624634, 0.23743635416030884, 0.21704038977622986]"
88,"DDN Launches Infinia, Software-Defined Storage for Enterprise AI ...",2023-11-08,insideHPC,Other,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']","[0.3235357105731964, 0.2798568606376648, 0.26728302240371704, 0.12932440638542175]"
89,"MS, backed by Open AI, records the highest stock price ever... close to overtaking Apple - Chosun Biz",2023-11-08,조선비즈,Other,ko,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.6072945594787598, 0.19135697185993195, 0.18039940297603607, 0.020949074998497963]"
90,Health AI startup Cercle debuts with backing from Sheryl Sandberg,2023-11-08,CNBC,News Outlet,en,positive,"['Excitement', 'Optimism', 'Skepticism', 'Concern']","[0.41438642144203186, 0.2962833344936371, 0.17850904166698456, 0.11082123965024948]"
91,Enterprise Health Adds AI Capabilities to its Occupational Health ...,2023-11-08,PR Newswire,News Outlet,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.4401211142539978, 0.2147357016801834, 0.1753409206867218, 0.16980227828025818]"
92,"Korean AI startups Allganize, Neurophet raise over $35 mn",2023-11-08,Korea Economic Daily,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.3270953297615051, 0.2931637465953827, 0.27321720123291016, 0.10652372986078262]"
93,A Bull Market May Be Coming: 2 Artificial Intelligence (AI) Growth ...,2023-11-08,The Motley Fool,Blog,en,positive,"['Excitement', 'Optimism', 'Skepticism', 'Concern']","[0.4810519218444824, 0.4508875012397766, 0.0391676127910614, 0.02889294922351837]"
94,IBM Continues AI Push With $500M Enterprise AI Venture Fund,2023-11-08,Forbes,Magazine,en,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']","[0.3200675845146179, 0.2416839301586151, 0.23689165711402893, 0.201356902718544]"
95,Norway wealth fund CEO says it is using AI to deploy capital,2023-11-08,Reuters,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.30236679315567017, 0.2570820748806, 0.22570563852787018, 0.21484553813934326]"
96,61% of Finance Execs Not Using AI Yet: Weekly Stat,2023-11-08,CFO.com,Other,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']","[0.49049708247184753, 0.3920918107032776, 0.0611349418759346, 0.05627620220184326]"
97,AI-Enabled Automation Streamlines Local Government Finance,2023-11-08,Government Technology,Blog,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']","[0.40406104922294617, 0.24239034950733185, 0.1986398696899414, 0.15490871667861938]"
98,1 Unstoppable Artificial Intelligence (AI) Stock Down 89% You'll ...,2023-11-08,The Motley Fool,Blog,en,negative,"['Concern', 'Excitement', 'Skepticism', 'Optimism']","[0.4828343689441681, 0.21833768486976624, 0.2071065902709961, 0.09172142297029495]"
99,Global Enterprise Artificial Intelligence Market 2023-2028: Daikin's ...,2023-11-08,Business Wire,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.3686690926551819, 0.3056868016719818, 0.20955762267112732, 0.11608652025461197]"
100,"Artificial Intelligence in Defense Market Growth to Hit 11.7% CAGR, Globally, by 2028 - Exclusive Report by The Insight Partners",2023-11-08,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']","[0.3279311954975128, 0.28017646074295044, 0.2732323408126831, 0.11866002529859543]"
101,The Artificial Intelligence (AI) Boom Is Coming: 3 Growth Stocks ...,2023-11-08,Nasdaq,Other,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.5640155076980591, 0.34490421414375305, 0.06330074369907379, 0.027779482305049896]"
102,Why won’t banking chief execs talk about artificial intelligence?,2023-11-08,Yahoo Finance UK,News Outlet,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']","[0.5732343792915344, 0.2824585735797882, 0.07293723523616791, 0.07136981934309006]"
103,3 Brilliant Artificial Intelligence Stocks to Buy and Hold Forever,2023-11-08,The Motley Fool,Blog,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.5384013056755066, 0.30398911237716675, 0.11857126653194427, 0.03903837129473686]"
104,3 AI Stocks to Keep On Your Radar This Winter,2023-11-08,InvestorPlace,Other,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.4008089005947113, 0.30595144629478455, 0.18230555951595306, 0.11093404144048691]"
105,A Bull Market May Be Coming: 2 Artificial Intelligence (AI) Growth ...,2023-11-08,msnNOW,News Outlet,en,positive,"['Excitement', 'Optimism', 'Skepticism', 'Concern']","[0.4810519218444824, 0.4508875012397766, 0.0391676127910614, 0.02889294922351837]"
106,Binny Bansal AI Startup | GPT-4 Turbo | JioMotive for Smart Cars ...,2023-11-07,IT Voice,Other,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']","[0.462278813123703, 0.21736560761928558, 0.21575194597244263, 0.10460364818572998]"
107,IBM and VMware Help Enterprises Adopt Generative AI with ...,2023-11-07,VMware News,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']","[0.2936672866344452, 0.2426106333732605, 0.23754866421222687, 0.22617338597774506]"
