,cleaned_title,date,source,source_type,language,sentiment,emotion,emotions,emotion_scores
10,Cyborg pianist: Transforming classical music with AI and brain data,2023-11-12,New Scientist,News Outlet,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.3453836441040039, 0.3020308315753937, 0.27864986658096313, 0.07393568009138107]"
11,Investors use AI to glean signals behind executives' soothing words,2023-11-12,Financial Times,News Outlet,en,positive,"['Skepticism', 'Optimism', 'Concern', 'Excitement']",Skepticism,"[0.4128972291946411, 0.24128985404968262, 0.21636231243610382, 0.12945058941841125]"
12,White House releases AI safety executive order,2023-11-12,CMU The Tartan Online,Academic Journal,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.548876166343689, 0.17551185190677643, 0.17221172153949738, 0.1034003272652626]"
13,Europe is looking for champions of generative AI,2023-11-12,Journal du geek,Academic Journal,fr,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.4953438341617584, 0.2370736300945282, 0.21636192500591278, 0.051220640540122986]"
14,"The main news from the world of AI, Elon Musk and safety precautions and how modern outdoor surveillance works",2023-11-12,The Bell,News Outlet,ru,negative,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.6835554242134094, 0.15030020475387573, 0.09630430489778519, 0.06984000653028488]"
15,"From Neural Frames to Replicate, Top 10 AI Tools that can make you rich, Read",2023-11-11,DNP INDIA,Other,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.32420507073402405, 0.24578234553337097, 0.2392789125442505, 0.19073368608951569]"
16,The Illusion of Understanding: MIT Unmasks the Myth of AI's Formal ...,2023-11-11,SciTechDaily,News Outlet,en,negative,"['Skepticism', 'Concern', 'Optimism', 'Excitement']",Skepticism,"[0.44926199316978455, 0.3941790759563446, 0.07847615331411362, 0.07808279991149902]"
17,Chinese AI and Robotics Companies Spearhead Digital ...,2023-11-11,China Money Network,Broadcast Media,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.3605763614177704, 0.2231561243534088, 0.2100467085838318, 0.20622074604034424]"
18,World Internet Conference: Professor: Global AI mechanism could ...,2023-11-11,CGTN,News Outlet,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.5205350518226624, 0.20449578762054443, 0.16174420714378357, 0.11322495341300964]"
19,"Meet 'Mika', The World's First Ever AI Humanoid Robot CEO",2023-11-11,NDTV,Broadcast Media,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']",Optimism,"[0.4204709529876709, 0.34927481412887573, 0.17546550929546356, 0.05478869006037712]"
20,Saudi Arabia unveils International Center for AI Research and Ethics in Riyadh,2023-11-11,ZAWYA,Other,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.46415337920188904, 0.24404169619083405, 0.16228421032428741, 0.12952077388763428]"
21,"Either the law will govern AI, or AI will govern the law",2023-11-11,The Hill,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6404100060462952, 0.1953693926334381, 0.10444752871990204, 0.05977308377623558]"
22,"The World Is Running Out of Data to Feed AI, Experts Warn",2023-11-11,ScienceAlert,Other,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.9190828800201416, 0.06545820832252502, 0.0086290268227458, 0.006829884368926287]"
23,Foolish Exclusions: China And The Bletchley Declaration On AI,2023-11-11,Countercurrents.org,Other,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6837841272354126, 0.2970401346683502, 0.010078707709908485, 0.009097094647586346]"
24,AI regulation battle is only just beginning,2023-11-11,Arab News,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.5918211936950684, 0.21062760055065155, 0.13024353981018066, 0.06730770319700241]"
25,GPT Models Reshaping Game for AI Robotics,2023-11-11,TechiExpert.com,Blog,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']",Concern,"[0.42432084679603577, 0.24221260845661163, 0.17129649221897125, 0.16217008233070374]"
26,Axios Survey of Americans on AI Regulation – Economist Writing ...,2023-11-11,Economist Writing Every Day,Other,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.43042194843292236, 0.38503989577293396, 0.09478737413883209, 0.0897507593035698]"
27,Can artificial intelligence replace lawyers and legal advisors?,2023-11-11,فرارو,Other,fa,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6733409762382507, 0.15236395597457886, 0.09385395795106888, 0.08044103533029556]"
28,40% of the global workforce will have to learn new skills after the development of AI,2023-11-11,Infobae,Other,es,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.6457411050796509, 0.1450033336877823, 0.11084244400262833, 0.09841310977935791]"
29,OpenAI Wants To Work With Partners To Generate AI Training Data: What It Means,2023-11-11,News18,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.3138037621974945, 0.29252612590789795, 0.20229746401309967, 0.19137264788150787]"
30,"For the first time in the world, AI Robot arrived to watch a match with a human, video went viral",2023-11-11,Zee News Hindi,News Outlet,hi,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']",Excitement,"[0.3530076742172241, 0.33522671461105347, 0.1674400418996811, 0.14432550966739655]"
31,"Humane's first AI voice device is officially launched, priced at US$699, and the United States will be the first to open pre-orders next week!",2023-11-10,Yahoo,Other,ko,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.4747319519519806, 0.23349960148334503, 0.16910003125667572, 0.12266836315393448]"
32,"This Beverage Company Makes an AI Robot as CEO, Capable of...",2023-11-10,Liputan6.com,Other,id,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.5593187808990479, 0.17957748472690582, 0.16441236436367035, 0.09669137746095657]"
33,Google expands partnership with Anthropic to enhance AI safety,2023-11-10,AI News,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.4845166802406311, 0.27066823840141296, 0.1567920297384262, 0.08802307397127151]"
34,EU's AI Act negotiations hit the brakes over foundation models,2023-11-10,EURACTIV,Other,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6964753270149231, 0.21022482216358185, 0.07247094064950943, 0.020828938111662865]"
35,Legal proceedings: Partial success for Meta in AI copyright proceedings – “My head explodes”,2023-11-10,WirtschaftsWoche,Other,de,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']",Excitement,"[0.5326830148696899, 0.3952394425868988, 0.053299423307180405, 0.018778113648295403]"
36,AI robotics' 'GPT moment' is near,2023-11-10,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.5843989253044128, 0.1790871024131775, 0.17783001065254211, 0.05868399888277054]"
37,"CyberAgent, company-wide AI human resources development program “Thoroughly generative AI...”",2023-11-10,AIsmiley,Other,ja,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.4483780264854431, 0.29414084553718567, 0.20154711604118347, 0.05593402311205864]"
38,HPE presents ‘Data/Green Lake’ as a core strategy in the hybrid/AI era,2023-11-10,IT조선,Other,ko,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.3592012822628021, 0.28597256541252136, 0.26311972737312317, 0.09170641005039215]"
39,Artificial intelligence: Microsoft is worried about the security of its beloved ChatGPT,2023-11-10,in.gr,Other,el,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.939250111579895, 0.02667694166302681, 0.021074460819363594, 0.012998404912650585]"
40,Google: AI creates new risks for cybersecurity,2023-11-10,ZDNet.de,News Outlet,de,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.7610399723052979, 0.19792991876602173, 0.021415777504444122, 0.019614344462752342]"
41,[Global] Pay attention to the ‘ChatGPT detector’ that accurately captures papers created with generative AI,2023-11-10,아이티데일리,Other,ko,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.444256454706192, 0.21569842100143433, 0.18448583781719208, 0.1555592566728592]"
42,[Let’s play with newspapers!/People in News] ‘ChatGPT’ developer argued for the need for AI regulation - Dong,2023-11-10,동아일보,Other,ko,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.4895321726799011, 0.22978931665420532, 0.21021586656570435, 0.0704626515507698]"
43,"Cybersecurity Workforce Facing Critical Shortfall, AI Adoption Could Help",2023-11-10,Security Boulevard,Other,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.9691224098205566, 0.021668225526809692, 0.004649764858186245, 0.0045595779083669186]"
44,"Generative AI Has Its Use in the Legal, Law Industry",2023-11-10,PYMNTS.com,Other,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.4058361351490021, 0.3147660791873932, 0.1904737949371338, 0.08892397582530975]"
45,Why Coursera's Andrew Ng Is Concerned About AI Regulation,2023-11-10,Bloomberg,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.9254883527755737, 0.06631950289011002, 0.00435786135494709, 0.003834305563941598]"
46,Get ready! TEAMZ WEB3 / AI SUMMIT 2024 in Japan is on the horizon!,2023-11-10,Cointelegraph,Other,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.7489098310470581, 0.14884445071220398, 0.0729842334985733, 0.029261590912938118]"
47,"Sending an AI bot to your Zoom meetings is the latest office power move, but it’s also a management mistake",2023-11-10,Fortune,News Outlet,en,negative,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.4850657284259796, 0.21428990364074707, 0.21298585832118988, 0.08765848726034164]"
48,Fyma Raises $2.1M to advance AI in real estate management,2023-11-10,Tech.eu,Blog,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']",Optimism,"[0.3735693395137787, 0.3089818060398102, 0.20498736202716827, 0.11246146261692047]"
49,"AI Insights: In AI Training Case Brought by Thomson Reuters, Court ...",2023-11-10,JD Supra,Press Release Service,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.498946875333786, 0.21764422953128815, 0.1760207861661911, 0.10738814622163773]"
50,How AI could be used to lighten the load for Penobscot County dispatchers - NewsCenterMaine.com WCSH,2023-11-10,NewsCenterMaine.com WCSH-WLBZ,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.6064519286155701, 0.16338562965393066, 0.14071783423423767, 0.08944462984800339]"
51,"Diversity of Data, Staff Critical to Prevent Bias in Healthcare AI",2023-11-10,MeriTalk,Other,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.8367501497268677, 0.10429782420396805, 0.03602168336510658, 0.022930309176445007]"
52,Sending an AI bot to your Zoom meetings is the latest office power ...,2023-11-10,Yahoo Finance,News Outlet,en,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']",Excitement,"[0.3394404351711273, 0.2929535210132599, 0.2223096787929535, 0.1452963650226593]"
53,OpenAI seeks partnerships to generate AI training data,2023-11-10,The Hindu,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.32773447036743164, 0.24805772304534912, 0.22705136239528656, 0.1971564143896103]"
54,AI Investors Horrified at the Suggestion That They Pay Artists for Using Their Copyrighted Work,2023-11-10,Yahoo News,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.8722997307777405, 0.12212057411670685, 0.002948397770524025, 0.0026312803383916616]"
55,Aigen Raises $12M to Scale AI-Powered Solar Robot Fleet for ...,2023-11-10,Causeartist,Other,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.35947203636169434, 0.23873011767864227, 0.23107531666755676, 0.17072251439094543]"
56,Machine Learning and AI Trends in Industrial Robotics,2023-11-10,Analytics Insight,Blog,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']",Optimism,"[0.3206377327442169, 0.2914116084575653, 0.2793155610561371, 0.10863502323627472]"
57,iFLYTEK Makes New Strides in its Global Expansion Strategy at AI ...,2023-11-10,PR Newswire,News Outlet,en,positive,"['Excitement', 'Optimism', 'Concern', 'Skepticism']",Excitement,"[0.47819983959198, 0.3472684621810913, 0.13827045261859894, 0.03626133129000664]"
58,The highly-anticipated US Executive Order on artificial intelligence ...,2023-11-10,Eversheds Sutherland(US) LLP,Other,en,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']",Excitement,"[0.4126034080982208, 0.359831839799881, 0.13466359674930573, 0.09290117025375366]"
59,"AI Order for Health Care May Bring Patients, Doctors Closer",2023-11-10,WebMD,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.31070977449417114, 0.29217177629470825, 0.20425792038440704, 0.19286058843135834]"
60,"Building a data-driven, AI-powered organisational foundation with ...",2023-11-10,ETCIO South East Asia,Other,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.3163989186286926, 0.2571161091327667, 0.23037554323673248, 0.19610942900180817]"
61,NeuReality to launch NR1 AI inference solution,2023-11-10,New Electronics,Other,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']",Optimism,"[0.45446866750717163, 0.32957905530929565, 0.1450686901807785, 0.07088366150856018]"
62,Improving safety in AI,2023-11-10,FinTech Futures,Blog,en,positive,"['Concern', 'Optimism', 'Skepticism', 'Excitement']",Concern,"[0.8127829432487488, 0.09939183294773102, 0.0577460378408432, 0.030079171061515808]"
63,"News at a glance: Fish family tree, AI safety research, and open ...",2023-11-09,Science,Other,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.41095104813575745, 0.293901652097702, 0.19819360971450806, 0.09695366770029068]"
64,"Tech groups push back on Biden AI executive order, raising ...",2023-11-09,FedScoop,Other,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.5893741250038147, 0.2674373686313629, 0.08075366169214249, 0.06243490055203438]"
65,"Generative AI still mostly experimental, say executives",2023-11-09,Reuters,News Outlet,en,neutral,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.39175814390182495, 0.34984737634658813, 0.14075212180614471, 0.11764243245124817]"
66,Hollywood actors secure safeguards around AI use on screen,2023-11-09,Reuters,News Outlet,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6938967704772949, 0.13779279589653015, 0.08435266464948654, 0.08395782113075256]"
67,Researchers Warn We Could Run Out Of Data To Train AI By 2026. What Then?,2023-11-09,NDTV,Broadcast Media,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.7489911913871765, 0.18912582099437714, 0.03098541870713234, 0.030897613614797592]"
68,"My week in AI (Nov 3–9) | by Onur Bakiner | Nov, 2023",2023-11-09,Medium,Blog,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.3873506188392639, 0.22166137397289276, 0.2196025848388672, 0.17138545215129852]"
69,"Tokyo Tech uses GPT-4 linked robot to conduct chemical experiments, generates AI for research",2023-11-09,日本経済新聞,Other,ja,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.4256744086742401, 0.2334698587656021, 0.20331034064292908, 0.1375454068183899]"
70,"Watch out: Generative AI will level up cyber attacks, according to new Google report",2023-11-09,ZDNet,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.964843213558197, 0.01674630306661129, 0.011703426018357277, 0.006707030814141035]"
71,AI dominates Milken Summit onstage and off,2023-11-09,POLITICO,Other,en,positive,"['Optimism', 'Excitement', 'Concern', 'Skepticism']",Optimism,"[0.34085971117019653, 0.3042607307434082, 0.29137104749679565, 0.06350855529308319]"
72,Thomson Reuters unveils new AI and automation tax product ...,2023-11-09,Thomson Reuters,News Outlet,en,positive,"['Excitement', 'Concern', 'Skepticism', 'Optimism']",Excitement,"[0.28624629974365234, 0.2760002315044403, 0.22345492243766785, 0.2142985314130783]"
73,How Are AI and Robotics Redefining Productivity? - Knowledge at ...,2023-11-09,Knowledge@Wharton,Academic Journal,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']",Optimism,"[0.315443754196167, 0.31134912371635437, 0.20483513176441193, 0.16837197542190552]"
74,AI robots that sort recycling do a better job than humans: report,2023-11-09,Business Insider,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.429535835981369, 0.2659556269645691, 0.15359999239444733, 0.15090854465961456]"
75,Maersk and iB Cargo combine autonomous robots with AI at ...,2023-11-09,Parcel and Postal Technology International,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.33666369318962097, 0.27692559361457825, 0.1958526074886322, 0.19055810570716858]"
76,My Trip Down The AI Rabbit Hole. Corporate Financier's Notes | by ...,2023-11-09,DataDrivenInvestor,Other,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.49331191182136536, 0.3209330439567566, 0.12145891785621643, 0.0642961785197258]"
77,With AI against cyber attacks: Rubrik introduces chatbot “Ruby”,2023-11-09,presseportal.de,Press Release Service,de,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.4514673352241516, 0.28639236092567444, 0.1708657294511795, 0.09127461165189743]"
78,"UAE minister proposes fatwa on how AI, robots should be used to serve people",2023-11-09,Khaleej Times,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.583279550075531, 0.24191245436668396, 0.10033091902732849, 0.07447706907987595]"
79,DataRobot releases major updates to its enterprise-grade AI platform,2023-11-09,SiliconANGLE News,News Outlet,en,positive,"['Skepticism', 'Optimism', 'Excitement', 'Concern']",Skepticism,"[0.2774043083190918, 0.25306013226509094, 0.2433154284954071, 0.22622016072273254]"
80,AI expert reveals the best hiding place for the robot revolution,2023-11-09,MSNBC,Other,en,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.32414504885673523, 0.2590886652469635, 0.23093006014823914, 0.18583621084690094]"
81,Koat.ai and Plato AI Announce Strategic Partnership to Revolutionize Data Intelligence and Drive Innovation.,2023-11-09,Yahoo Finance,News Outlet,en,positive,"['Optimism', 'Excitement', 'Skepticism', 'Concern']",Optimism,"[0.32226309180259705, 0.25457602739334106, 0.23244419693946838, 0.1907166838645935]"
82,New CData Connect Cloud GPT-Powered AI Generator Transforms ...,2023-11-09,Datanami,News Outlet,en,positive,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.38170507550239563, 0.232647106051445, 0.22521699965000153, 0.16043078899383545]"
83,US judge trims AI copyright lawsuit against Meta,2023-11-09,Reuters,News Outlet,en,negative,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.5977873206138611, 0.17085610330104828, 0.13423927128314972, 0.09711728990077972]"
84,Law Students' Use of AI in Legal Writing: A Comprehensive Study,2023-11-09,JDJournal.com,Academic Journal,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.4066845774650574, 0.2719389796257019, 0.17634886503219604, 0.14502759277820587]"
85,Data labeling companies are raising prices in the AI boom,2023-11-09,Quartz,Other,en,negative,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.4968014061450958, 0.2043052315711975, 0.1587200164794922, 0.1401733160018921]"
86,OpenAI wants to work with organizations to build new AI training data sets,2023-11-09,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.28734248876571655, 0.26408877968788147, 0.23572658002376556, 0.2128422111272812]"
87,President Biden Issues Executive Order on Artificial Intelligence ...,2023-11-09,JD Supra,Press Release Service,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6227341890335083, 0.13238149881362915, 0.12503686547279358, 0.11984747648239136]"
88,President Biden's Executive Order on Artificial Intelligence Attempts ...,2023-11-09,Akin Gump Strauss Hauer & Feld LLP,Other,en,negative,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.6734130382537842, 0.17651456594467163, 0.07548820227384567, 0.07458414882421494]"
89,"PostgresML, the MLops platform enabling the next generation of in-database artificial intelligence and machine learning applications, is now generally available for enterprise and scale-ups",2023-11-09,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.2900770604610443, 0.2866109609603882, 0.2725256383419037, 0.1507864147424698]"
90,Post-Doctoral Associate in the Center for Artificial Intelligence and ...,2023-11-09,Times Higher Education,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.44067874550819397, 0.2692759931087494, 0.1594153493642807, 0.13062992691993713]"
91,Hot Topics of Generative AI are the Focus of 2023 Data Science ...,2023-11-09,NJIT News |,News Outlet,en,positive,"['Excitement', 'Concern', 'Optimism', 'Skepticism']",Excitement,"[0.4000534117221832, 0.31162986159324646, 0.20428787171840668, 0.08402887731790543]"
92,Researchers warn we could run out of data to train AI by 2026.,2023-11-09,The Hindu,News Outlet,en,negative,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.7389694452285767, 0.12599928677082062, 0.07314160466194153, 0.06188971549272537]"
93,AI startup Cercle launches with partners focused on big data ...,2023-11-09,FierceHealthcare,Other,en,positive,"['Excitement', 'Optimism', 'Skepticism', 'Concern']",Excitement,"[0.3447408378124237, 0.28400012850761414, 0.20930568873882294, 0.16195331513881683]"
94,Rice to host International Workshop on AI-Powered Space,2023-11-09,Rice News,News Outlet,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']",Optimism,"[0.2852350175380707, 0.27614879608154297, 0.25836971402168274, 0.1802464723587036]"
95,New Hawaii CDO Hopes to Expand AI and Data Use,2023-11-09,Government Technology,Blog,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.4006156027317047, 0.250779390335083, 0.18889029324054718, 0.1597146838903427]"
96,Energy-efficient transistor enables AI analysis of health data within ...,2023-11-09,physicsworld.com,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.47057095170021057, 0.21558555960655212, 0.18487028777599335, 0.12897323071956635]"
97,SEPTA bus lane bill uses AI technology to ticket drivers illegally parked in bus lanes,2023-11-09,CBS News,News Outlet,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.4083268344402313, 0.2589898109436035, 0.17934805154800415, 0.15333525836467743]"
98,"Boston Dynamics' Spot robot, AI by Levatas at Kravis Center event",2023-11-09,Palm Beach Daily News,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.3074286878108978, 0.25568825006484985, 0.2413330376148224, 0.19555003941059113]"
99,"New UCF Tech Uses AI, VR to Monitor Safety of Bridges, Buildings",2023-11-09,AZoBuild,Other,en,positive,"['Concern', 'Skepticism', 'Optimism', 'Excitement']",Concern,"[0.44484037160873413, 0.22544299066066742, 0.1962335705757141, 0.13348297774791718]"
100,AI will hasten the Circular Economy of People | theHRD,2023-11-09,The HR Director Magazine,Magazine,en,positive,"['Optimism', 'Concern', 'Excitement', 'Skepticism']",Optimism,"[0.3781929612159729, 0.28410404920578003, 0.19260120391845703, 0.14510174095630646]"
101,"Supermicro Expands Global Manufacturing Footprint Increasing Worldwide Rack Scale Manufacturing Capacity to 5,000 Fully Tested AI, HPC, and Liquid Cooling Rack Solutions Per Month",2023-11-09,Yahoo Finance,News Outlet,en,positive,"['Concern', 'Optimism', 'Excitement', 'Skepticism']",Concern,"[0.3718028962612152, 0.29967430233955383, 0.2644301950931549, 0.06409257650375366]"
102,The Promising Prospects and Potential Pitfalls of AI in the Legal ...,2023-11-09,Today's Conveyancer,News Outlet,en,positive,"['Concern', 'Excitement', 'Optimism', 'Skepticism']",Concern,"[0.34153443574905396, 0.3248194456100464, 0.17490559816360474, 0.15874046087265015]"
103,"Former Apple executives launch pin with AI that records, calls by...",2023-11-09,La Prensa Panamá,Press Release Service,es,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.36723965406417847, 0.29950448870658875, 0.1956508457660675, 0.1376049965620041]"
104,Scale launches new AI security lab led by...,2023-11-09,Forbes Colombia,Magazine,es,positive,"['Concern', 'Skepticism', 'Excitement', 'Optimism']",Concern,"[0.3034570813179016, 0.29360276460647583, 0.21196281909942627, 0.1909773051738739]"
105,Nvidia will develop 3 new AI chips for China in accordance with the American regulation,2023-11-09,ספונסר,Other,iw,positive,"['Concern', 'Excitement', 'Skepticism', 'Optimism']",Concern,"[0.4822441041469574, 0.2350350171327591, 0.14635193347930908, 0.13636891543865204]"
